"","row","date","state","fluP","temp","ah","o3","pm2.5"
"119","119",2017-12-18,"Anhui",1.01236537940654,-0.930616939007529,-1.21295380336828,-0.577746750337749,1.13079194683024
"120","120",2017-12-25,"Anhui",1.10233684912498,-0.837790296893905,-0.925359504631733,-0.780664779270333,2.71028015003572
"121","121",2018-01-01,"Anhui",1.21162458703521,-1.35504467769069,-0.991038839537009,-0.321923687407425,1.09498754061187
"122","122",2018-01-08,"Anhui",1.24392434487,-1.72116623204525,-1.44217476613845,-0.311057681458224,-0.400611389771515
"123","123",2018-01-15,"Anhui",1.41038518276576,-0.934854440067919,-0.658815741969989,-1.01349514071008,3.45396089184115
"124","124",2018-01-22,"Anhui",1.34681757517245,-1.81356961976733,-1.2429751369304,-0.312856768276188,0.128949928382892
"125","125",2018-01-29,"Anhui",1.23813641644153,-1.99280817387811,-1.50017798030099,0.316876289408841,1.27388144890199
"126","126",2018-02-05,"Anhui",1.1086337483569,-1.40216243598672,-1.35292784592613,-0.141624679764982,0.851118843149532
"127","127",2018-02-12,"Anhui",1.29353879825779,-0.76240355319504,-0.958996994685953,0.357640277164037,0.142145548645811
"128","128",2018-02-19,"Anhui",1.08229151194883,-0.722975131063019,-0.609217052080915,-0.0125795494749034,-0.322744776637111
"129","129",2018-02-26,"Anhui",0.868604610697611,-0.192322297120368,-0.0641356171435152,-0.120744348528298,-0.237897921394947
"130","130",2018-03-05,"Anhui",0.480809222116143,-0.50390425300308,-0.611863162662828,0.523055583619783,-0.787362539540782
"131","131",2018-03-12,"Anhui",0.185905787187602,0.261595738787831,0.103860031863291,0.670209463916295,-0.791583663933375
"132","132",2018-03-19,"Anhui",-0.226445880180919,-0.0688687013324934,-0.16985708289278,0.853055041595815,-0.150427733322324
"133","133",2018-03-26,"Anhui",-0.287458543293226,1.03116476872865,0.920307495652914,1.92184991103636,-0.0532014768804202
"134","134",2018-04-02,"Anhui",-0.535527626170139,0.365680938570622,0.037840186614385,1.00026939930724,-1.00190319059849
"135","135",2018-04-09,"Anhui",-1.62493651581158,0.787738248991213,0.421335616732141,1.31850850458182,-0.833970603700527
"136","136",2018-04-16,"Anhui",-1.52723757360995,1.16637006545975,0.853881537591431,2.01892288600127,-0.767324654358885
"137","137",2018-04-23,"Anhui",-1.20137859236226,1.07460009330258,1.12629992517794,2.0924740481358,-0.483484648302961
"138","138",2018-04-30,"Anhui",-1.45574492653387,1.45066326460671,1.76658723994644,1.57067304593878,-1.06612754411676
"139","139",2018-05-07,"Anhui",-2.22825687064491,1.2613725323914,1.50934569796437,2.2258904560521,-1.07718439101817
"140","140",2018-05-14,"Anhui",-3.58201734499311,1.98482502912152,2.98100231685345,1.14805904436894,-1.391665472126
"141","141",2018-05-21,"Anhui",-1.08781256584444,1.36581367944888,1.98003241858437,1.02475828162197,-1.01386252349843
"142","142",2018-05-28,"Anhui",-1.66950822804469,1.82961906518029,2.17255185272585,2.90730777395434,-0.407126380814084
"143","143",2018-07-01,"Anhui",999,999,999,999,999
"144","144",2018-10-01,"Anhui",-1.69327532193591,1.08844344339258,0.600757886301558,2.53843491858562,-0.907556583249335
"145","145",2018-10-08,"Anhui",-1.8710500633975,0.81008348844667,0.283500583784373,1.28558315133159,-0.890677693872155
"146","146",2018-10-15,"Anhui",-1.91382472597788,0.660058786236799,0.432538371132023,0.516956219212496,-1.12739311743084
"147","147",2018-10-22,"Anhui",-1.22619768304758,0.686874474114053,0.366025798045574,0.507408157743148,-0.687814289600905
"148","148",2018-10-29,"Anhui",-1.66048748503616,0.607761873942325,0.0843091818606015,0.71688251828036,-0.804010407465256
"149","149",2018-11-05,"Anhui",-0.982788996860358,0.0329631966884961,0.239339208321167,-0.578254725048312,-1.25172078699439
"150","150",2018-11-12,"Anhui",-0.552854639813712,-0.0479828392166814,0.0750729137454465,-0.537998084933189,-0.811747455353037
"151","151",2018-11-19,"Anhui",-0.297640523650681,-0.262798061320023,-0.286851783852433,-0.0904363089273028,0.816890375455427
"152","152",2018-11-26,"Anhui",-0.157143643437104,-0.0225389916936545,0.144911756944833,-0.401810405314392,2.86590574210015
"153","153",2018-12-03,"Anhui",0.263340897039038,-0.953160990280715,-0.799602613854397,-1.19292631663897,-1.18481921891779
